Producto;Precio de Produccion
BANNER DELGADO 10 ONZAS;S/ 9.00
BANNER GRUESO 12 ONZAS;S/ 13.50
LONA ARCLAD;S/ 24.46
BANNER BLACKOUT;S/ 23.10
BANNER MESH 3M;
Servicio de rotulado Ml;S/ 21.00
Vinil de color x 60;S/ 21.00
Vinil de color x 120;S/ 31.50
Vinil de color x 150;S/ 28.88
BACKLIGT;S/ 0.00
BANNER BACKGRAY;S/ 28.27
VINILO BLACKOUT;S/ 37.50
VINILO ECONOMICO;S/ 24.00
VINILO INTEREMEDIO;S/ 27.00
VINILO PREMIUM;S/ 46.81
VINILO TRANSPARENTE;S/ 27.00
VINILO MICROPERFORADO;S/ 45.86
VINILO REFLECTIVO ML;S/ 45.00
VINILO FOTOLUMINISCENTE ML;S/ 67.50
VINIL ARENADO  ECONOMICO;S/ 37.86
VINIL PAVONADO;S/ 26.50
SERVICIO DE CORTE DE VINIL  ML;S/ 15.14
SERVICIO DE PLOTEO DE VINIL ;S/ 15.14
FOAM;S/ 37.03
ACRILICO TRANSPARENTE 3MM;S/ 132.00
ACRILICO TRANSPARENTE  5MM;S/ 166.67
ACRILICO TRANSPARENTE  1.5;S/ 76.39
ACRILICO TRANSPARENTE  2MM;S/ 90.28
ACRILICO TRANSPARENTE  2.5;S/ 97.22
ACRILICO TRANSPARENTE  3MM;S/ 131.94
ACRILICO TRANSPARENTE 4MM;S/ 180.56
ACRILICO TRANSPARENTE 5MM;S/ 166.67
ACRILICO BLANCO 1.5 MM;S/ 83.33
ACRILICO BLANCO 2 MM;S/ 97.22
ACRILICO BLANCO 2.5;S/ 111.11
ACRILICO BLANCO 3 MM;S/ 138.89
ACRILICO BLANCO 4MM;S/ 187.50
ACRILICO BLANCO 5MM;S/ 171.88
ACRILICO TRASLUCIDO 1.5;S/ 90.28
ACRILICO TRASLUCIDO 2MM;S/ 104.17
ACRILICO TRASLUCIDO 2.5 MM;S/ 125.00
ACRILICO TRASLUCIDO 3MM;S/ 145.83
ACRILICO TRASLUCIDO 4MM;S/ 194.44
ACRILICO TRASLUCIDO 5MM;S/ 177.08
PVC 3MM;S/ 45.00
PVC 5MM;S/ 57.00
LONA CHINA ;S/ 27.00
VINIL IMPRESO  TRANSPARENTE EN ALTA ;S/ 34.50
VINIL IMPRESO SOBRE PVC 3MM;S/ 78.13
VINIL IMPRESO SOBRE PVC 5MM;S/ 93.75
SERVICIO DE LAMINADO ML  ;S/ 22.50
SEÑALETICAS FOTOLUMINICENTE CON PLOTEO   A4 IMPRESA ;S/ 18.00
SEÑALETICA A4 IMPRESA ;S/ 15.00
SEÑALETICA A4 IMPRESA CON PLOTEO;S/ 18.00
ESTRUCTURAS PLANAS M2;S/ 45.00
ESTRUCTURA PARA PANEL LUMINOSO M2;S/ 105.00
COSTO FINAL  DE PRODUCCION DE  PANEL LUMINOSO DE VINIL  DE 01 CARA LISTO POR M2 ;S/ 390.00
COSTO FINAL DE PRODUCCION DE  PANEL LUMINOSO DE VINIL  DE 02 CARAS. LISTO POR M2 ;S/ 480.00
COSTO FINAL DE PRODUCCION DE BASTIDOR DE MANDERA CON BANER. LISTO POR M2;S/ 75.00
MOCHILA PUBLICITARIA;S/ 72.95
MOCHILA PUBLICITARIA CON VINIL;S/ 136.29
PARANTE TIPO PEDESTAL LIVIANO;S/ 42.80
PARANTE TIPO PEDESTAL CON BASE PESADA ;S/ 70.31
MODULO ECONÓMICO;S/ 229.29
MODULO ECONÓMICO CON VINIL;S/ 351.57
LAMINADO ALTO TRANSITO;S/ 30.57
Mnao de obra interna por hora ;S/ 84.11
Masno de obra externa por dia 150;S/ 168.22
